time,coin,source,rank,mentions
2026-09-25 23:42,PONS,geckoterminal_5m,13,
2026-09-25 23:42,CASHCAT,geckoterminal_5m,14,
2026-09-25 23:42,AERO,geckoterminal_5m,20,
2026-09-25 23:42,BONK,geckoterminal_1h,8,
2026-09-25 23:42,AERO,geckoterminal_1h,12,
2026-09-25 23:42,PONS,geckoterminal_1h,17,
2026-09-25 23:47,TRUMP,dexscreener,16,
2026-09-25 23:52,AERO,geckoterminal_5m,9,
2026-09-25 23:52,CASHCAT,geckoterminal_5m,10,
2026-09-25 23:52,AERO,geckoterminal_5m,11,
2026-09-25 23:52,AERO,geckoterminal_5m,12,
2026-09-25 23:52,ARK,geckoterminal_5m,17,
2026-09-25 23:52,AERO,geckoterminal_5m,18,
2026-09-25 23:52,BONK,geckoterminal_1h,8,
2026-09-25 23:52,AERO,geckoterminal_1h,11,
2026-09-25 23:52,PONS,geckoterminal_1h,18,
2026-09-25 23:52,AERO,geckoterminal_1h,20,
2026-09-25 23:57,TRUMP,coingecko,1,
2026-09-25 23:57,NEAR,coingecko,3,
2026-09-25 23:57,ONDO,coingecko,5,
2026-09-25 23:57,PENGU,coingecko,6,
2026-09-25 23:57,AERO,coingecko,7,
2026-09-25 23:57,ENA,coingecko,8,
2026-09-25 23:57,PONS,coingecko,9,
2026-09-25 23:57,VVV,coingecko,10,
2026-09-25 23:57,SOL,coingecko,11,
2026-09-25 23:57,STONK,coingecko,12,
2026-09-25 23:57,BTC,coingecko,14,
2026-09-25 23:57,UNI,coingecko,15,
2026-09-26 00:05,WEN,geckoterminal_5m,10,
2026-09-26 00:05,PONS,geckoterminal_5m,13,
2026-09-26 00:05,CASHCAT,geckoterminal_5m,14,
2026-09-26 00:05,CASHCAT,geckoterminal_5m,19,
2026-09-26 00:05,TROLL,geckoterminal_1h,19,
2026-09-26 00:05,TRUMP,dexscreener,17,
2026-09-26 00:12,TRUMP,coingecko,1,
2026-09-26 00:12,NEAR,coingecko,3,
2026-09-26 00:12,ONDO,coingecko,5,
2026-09-26 00:12,PENGU,coingecko,6,
2026-09-26 00:12,AERO,coingecko,7,
2026-09-26 00:12,ENA,coingecko,8,
2026-09-26 00:12,PONS,coingecko,9,
2026-09-26 00:12,VVV,coingecko,10,
2026-09-26 00:12,SUI,coingecko,11,
2026-09-26 00:12,SOL,coingecko,13,
2026-09-26 00:12,ETH,coingecko,14,
2026-09-26 00:12,FET,coingecko,15,
2026-09-26 00:15,GAS,geckoterminal_5m,14,
2026-09-26 00:15,BONK,geckoterminal_1h,7,
2026-09-26 00:15,AERO,geckoterminal_1h,10,
2026-09-26 00:15,PONS,geckoterminal_1h,14,
2026-09-26 00:15,PONS,geckoterminal_1h,15,
2026-09-26 00:15,CASHCAT,geckoterminal_1h,16,
