time,side,coin,qty,price,usd,fee,pnl,reason
2026-09-25 22:39,BUY,SOL,0.73215967,122.43231,89.64,0.36,,footprint 3/4 drift+hikes+rising_lows
2026-09-25 22:39,BUY,HBAR,937.85817048,0.095579,89.64,0.36,,footprint 3/4 drift+hikes+rising_lows
2026-09-25 23:03,BUY,ARB,388.9538407,0.229811,89.39,0.36,,footprint 3/4 drift+quiet+rising_lows
2026-09-26 01:05,BUY,XRP,56.6710713,1.567566,88.84,0.36,,footprint 3/4 drift+hikes+rising_lows
2026-09-26 02:05,BUY,ADA,340.58828898,0.261161,88.95,0.36,,footprint 3/4 drift+hikes+rising_lows
