
stocks: 2 symbols; cost per side 0.02%
in-sample 21.2 months, out-of-sample 14.0 months

13 variants. Top 15 by in-sample monthly return, then UNSEEN results:

  setup params                             |   IS/mo |  OOS/mo  OOS tot trades/mo   win avg/trade
  noise d=30 mult=1.0                      |   +0.3% |   +0.1%    +0.8%      12.8   47%    +0.01%
  noise d=30 mult=0.8                      |   +0.2% |   -0.2%    -2.3%      16.7   42%    -0.02%
  noise d=30 mult=1.5                      |   +0.2% |   -0.0%    -0.3%       8.0   42%    -0.01%
  noise d=14 mult=1.0                      |   +0.2% |   -0.1%    -1.6%      13.5   42%    -0.02%
    orb stop_r=1.0 dir_filter=1            |   +0.2% |   -0.5%    -6.3%      17.2   49%    -0.05%
  noise d=14 mult=1.5                      |   +0.1% |   -0.1%    -1.2%       8.0   44%    -0.02%
  noise d=7 mult=0.8                       |   +0.1% |   -0.3%    -3.8%      17.2   41%    -0.03%
  noise d=14 mult=0.8                      |   +0.1% |   -0.2%    -2.2%      16.6   42%    -0.02%
  noise d=7 mult=1.5                       |   +0.1% |   -0.1%    -1.3%       8.7   45%    -0.02%
  noise d=7 mult=1.0                       |   -0.1% |   -0.2%    -2.4%      14.0   42%    -0.02%
    orb stop_r=1.0 dir_filter=0            |   -0.1% |   -0.7%    -9.6%      24.8   47%    -0.06%
    orb stop_r=0.5 dir_filter=1            |   -0.5% |   -0.7%    -9.7%      17.2   37%    -0.08%
    orb stop_r=0.5 dir_filter=0            |   -1.3% |   -1.5%   -19.0%      24.8   32%    -0.12%

For reference, best 5 by UNSEEN result (picked with hindsight, so optimistic):
  noise d=30 mult=1.0                      | IS  +0.3%/mo | OOS  +0.1%/mo, 13 trades/mo
  noise d=30 mult=1.5                      | IS  +0.2%/mo | OOS  -0.0%/mo, 8 trades/mo
  noise d=14 mult=1.5                      | IS  +0.1%/mo | OOS  -0.1%/mo, 8 trades/mo
  noise d=7 mult=1.5                       | IS  +0.1%/mo | OOS  -0.1%/mo, 9 trades/mo
  noise d=14 mult=1.0                      | IS  +0.2%/mo | OOS  -0.1%/mo, 14 trades/mo
