time,chain,symbol,address,pair,verdict,reasons,price,liq_usd,vol24_usd,age_h,fdv,buys_h1,sells_h1,h1,h6,h24,sources
2026-09-25 23:54,base,B3,0xb3b32f9f8827d4634fe7d973fa1034ec9fddb3b3,0xb099c658e784b41ee435d48a8eb67e8f27285c93,REJECT,no dexscreener pair,0.000849396348503414,863930,2160487,14217.4,84939616.503199,49,69,-0.00512,0.0233,0.19341999999999998,ds
2026-09-25 23:54,ethereum,GULD,0x14d6c649292c5c9790c5196d1a9ea039307947a1,0x75624c04a031134ec1b56ecc7131bd3ce11bcd663d16ba57ad1d0f40a91c35c2,REJECT,no dexscreener pair,0.0214237847240551,1843219,921833,3259.8,36438662.0159746,13,16,-0.00052,0.00301,-0.0242,ds
2026-09-25 23:59,base,PROS,0x8b7dde054be9d180c1be7fae0874697374a49832,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,REJECT,no dexscreener pair,0.664390068427926,960779,5628175,3250.7,2817365.77139118,240,230,0.0169,0.01187,0.07646,ds
2026-09-26 00:05,solana,TROLL,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,4w2cysotX6czaUGmmWg13hDpY4QEMG2CzeKYEQyK9Ama,REJECT,lp holders unknown,0.05184,3646879,875088,12557.6,51783287.0,19,28,0.001,0.012199999999999999,0.0212,ds+goplus
2026-09-26 00:05,solana,SPX,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,REJECT,mint authority; lp locked 0% < 95%,0.4625,2513772,841676,24236.5,58030554.0,148,247,0.0021,0.0382,0.054900000000000004,ds+goplus
2026-09-26 00:10,solana,ANSEM,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,FnzKY6x7entQ1eR3D225dQyT7ybfka4PskBMQhb8L3CC,REJECT,top-10 holders 67%; lp holders unknown,0.1854,2804186,2503965,2427.1,184967459.0,313,242,-0.025699999999999997,-0.0414,0.2137,ds+goplus
2026-09-26 00:10,base,DRV,0x9d0e8f5b25384c7310cb8c6ae32c8fbeb645d083,0xe2654cc01616e962fbfcc4277c23062e59e70e39f87221d77b6d438705a5f286,REJECT,no dexscreener pair,0.436744694802676,4686043,896789,2946.8,84797826.4340651,118,94,-0.00968,-0.00156,-0.03709,ds
2026-09-26 00:10,solana,OTC,MukLDtJ8Cx9DxLbeyLRSWPSposTMWuwHANbuaudpump,DA4pM4xSDY4M9V4CgAKKBVH1pw1yscTQQa5nEkGHuKpt,REJECT,lp holders unknown,0.005463,446487,1278777,682.6,3776073.0,1658,914,-0.26489999999999997,-0.2732,-0.37770000000000004,ds+goplus
2026-09-26 00:20,base,FLOCK,0x5ab3d4c385b400f3abb49e80de2faf6a88a7b691,0xd7338b6f338da54b922bbbc6fbe3efedd5ce35fa,REJECT,no dexscreener pair,0.0730084403964414,619487,769330,9457.9,35092994.0026032,214,59,0.01098,-0.021099999999999997,0.027639999999999998,ds
2026-09-26 00:35,base,EDGE,0xed6e000def95780fb89734c07ee2ce9f6dcaf110,0x594b83709464a83f37ac77e69ddd447a8a33c0ee,REJECT,no dexscreener pair,0.122442237064015,726161,664218,12995.6,122442237.083906,105,156,0.22763000000000003,0.19440000000000002,0.42481,ds
2026-09-26 00:35,base,ELSA,0x29cc30f9d113b356ce408667aa6433589cecbdca,0x83f3aca29bc79b048b99c56013475570acc97ccf,REJECT,no dexscreener pair,0.0586393877784102,410823,321447,5967.6,58639387.78,212,225,0.020030000000000003,0.04103,0.018340000000000002,ds
2026-09-26 00:50,ethereum,FOLD,0xe172e9b6cfbeeb5593bdce3f077356fdb33af904,0x909e4a022a7505d44b19b36fe76ee18567379ee4c9697438acde2e159c006c32,REJECT,no dexscreener pair,0.0604347401733576,1838922,309084,1858.4,72521688.1209301,23,21,0.027069999999999997,0.0331,0.01678,ds
2026-09-26 00:55,solana,JEANPHIL,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,4R8CiMnJWDNoes3fQi1ccPFJygPXazaHaWpHrN3rZeNj,REJECT,holders unknown; lp holders unknown,0.006566,363086,3287628,149.8,6366190.0,711,356,-0.0849,-0.17129999999999998,-0.0892,ds+goplus
2026-09-26 01:00,solana,WETH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,REJECT,mint authority; top-10 holders 77%; lp holders unknown,2690.67,7727464,10708073,33550.6,234277249.0,957,524,,-0.002,0.0004,ds+goplus
2026-09-26 01:00,ethereum,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,REJECT,no dexscreener pair,156.041848358314,5385960,2716129,41556.0,2496669525.00236,24,3,0.014650000000000002,0.00946,0.058570000000000004,ds
