time,chain,addr,pair,sym,src,price,liq,vol1,vol6,vol24,fdv,age_h,b1,s1,b24,s24,h1,h6,h24,boosts
2026-09-26 14:14,solana,CWZ6BsdnjkDVTGkmL6bGbJXXig6ceef12KvyGQW14cMt,54Vp27uLaw4wNLo5n7r4fcC6zLamoQc28xBARjss4EUJ,ANTFUN,geckoterminal,0.011058429014258984,13257671.8975,,,2088174.19209618,98113511.6107257,1881.7400958333333,912,516,15149,8879,0.0047599999999999995,-0.10456,-0.138,
2026-09-26 14:14,solana,udPEzBjbGMzYZbuLtByqLYhc4TEs6EebG8R7fwdpump,8v6b3CtoP5BVQWXeRSRUEUjDcFeMDYqJKJ7tUtsxQ1CM,TEXTIT,geckoterminal,0.014304190923873682,431309.9468,,,1935893.55464322,14193272.2835389,887.1178736111111,1861,1949,7906,8083,-0.00876,0.42228,0.61988,
2026-09-26 14:14,solana,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,USELESS,geckoterminal,0.28763387354512737,5853831.0844,,,1479745.64106366,287369017.754571,12095.850929166667,323,166,7404,3393,0.01473,0.00021,-0.034159999999999996,
2026-09-26 14:14,base,0xcef8db49e456f872e288e1c042f916e9ced7c781,0xe942b86f5c6d4a780fd673317ee7e565d25ab7f3,MAG7,geckoterminal,107.059238196692,423245.1739,,,12045.5434784524,400822.73766616,788.1081544444445,0,0,21,6,0.0,0.0,0.00328,
2026-09-26 14:14,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,0x6cdcb1c4a4d1c3c6d054b27ac5b77e89eafb971d,AERO,geckoterminal,0.889557207311238,39103657.5098,,,14765241.1656159,1768468984.97749,26751.39148777778,36,290,3919,6791,-0.01618,0.013309999999999999,0.13760999999999998,
2026-09-26 14:14,base,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,0x0392b12a1ceb0cd13af5ea448cf5586ea609852d,ZEN,geckoterminal,7.93713051576954,2656324.1035,,,3279064.22036692,166654710.271029,10320.64371,592,443,4300,4573,0.01269,0.046689999999999995,0.059669999999999994,
2026-09-26 14:14,base,0x449b3317a6d1efb1bc3ba0700c9eaa4ffff4ae65,0xcde41d0b1ad079c3ceb7271559f738f503102852,AUDD,geckoterminal,0.70276949559797,35931.8445,,,5517.4221218661,2105517.49396978,8680.107043333333,0,0,27,40,0.0,0.00506,-0.01353,
2026-09-26 14:14,base,0xed6e000def95780fb89734c07ee2ce9f6dcaf110,0x594b83709464a83f37ac77e69ddd447a8a33c0ee,EDGE,geckoterminal,0.141613483209851,789074.2668,,,1167053.1605359,141613483.181387,13009.223987777777,292,497,849,1234,0.23271999999999998,0.26724,0.45661999999999997,
2026-09-26 14:14,base,0x311935cd80b76769bf2ecc9d8ab7635b2139cf82,0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL,geckoterminal,120.485552680328,681198.4451,,,5375674.04154335,28919714.8330437,3921.487321111111,96,83,4553,4375,0.00105,0.00314,0.00425,
2026-09-26 14:14,base,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,0x0c3b466104545efa096b8f944c1e524e1d0d4888,TIBBIR,geckoterminal,0.271017136670014,3734996.2859,,,596526.796762945,270891353.752013,14941.739265555556,74,9,409,484,-0.06602999999999999,-0.06541999999999999,0.019530000000000002,
